"data","series","period","type","description","value_type","time","date","value"
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","xx",1992,1992-01-01,5056
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","xx",1993,1993-01-01,5067.2
"M3","N0002","YEARLY","MICRO","SALES ( CODE= AN )","xx",1994,1994-01-01,5209.6
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1975,1975-01-01,1461.57
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1976,1976-01-01,1692.5
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1977,1977-01-01,2193.82
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1978,1978-01-01,2459.68
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1979,1979-01-01,3246.8
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1980,1980-01-01,4748.86
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1981,1981-01-01,5559.46
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1982,1982-01-01,5292.42
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1983,1983-01-01,5029.4
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1984,1984-01-01,4753.6
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1985,1985-01-01,4344.6
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1986,1986-01-01,2897.4
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1987,1987-01-01,3256.4
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","x",1988,1988-01-01,3525.2
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","xx",1989,1989-01-01,3070.2
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","xx",1990,1990-01-01,3601.6
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","xx",1991,1991-01-01,3407.4
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","xx",1992,1992-01-01,3500.6
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","xx",1993,1993-01-01,3437.8
"M3","N0003","YEARLY","MICRO","SALES ( CODE= ARC)","xx",1994,1994-01-01,3007
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1975,1975-01-01,744.54
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1976,1976-01-01,1105.16
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1977,1977-01-01,1417.4
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1978,1978-01-01,1838.04
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1979,1979-01-01,2337.62
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1980,1980-01-01,3094.88
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1981,1981-01-01,4280.04
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1982,1982-01-01,5070.2
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1983,1983-01-01,3675.18
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1984,1984-01-01,3667.38
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1985,1985-01-01,3808.64
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1986,1986-01-01,3114.42
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1987,1987-01-01,3847.2
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","x",1988,1988-01-01,4632.3
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","xx",1989,1989-01-01,4656
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","xx",1990,1990-01-01,5228.52
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","xx",1991,1991-01-01,5656.72
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","xx",1992,1992-01-01,5077.02
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","xx",1993,1993-01-01,5403.4
"M3","N0004","YEARLY","MICRO","SALES ( CODE= BHI)","xx",1994,1994-01-01,5009.52
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1975,1975-01-01,4977.18
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1976,1976-01-01,5248
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1977,1977-01-01,5370
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1978,1978-01-01,6184.89
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1979,1979-01-01,7137.19
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1980,1980-01-01,6743
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1981,1981-01-01,7298
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1982,1982-01-01,5260.29
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1983,1983-01-01,4898.18
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1984,1984-01-01,5392.04
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1985,1985-01-01,5117.64
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1986,1986-01-01,4332.9
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1987,1987-01-01,4620.5
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","x",1988,1988-01-01,5488.8
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","xx",1989,1989-01-01,5250.9
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","xx",1990,1990-01-01,4899.2
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","xx",1991,1991-01-01,4317.9
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","xx",1992,1992-01-01,4007.9
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","xx",1993,1993-01-01,4323.4
"M3","N0005","YEARLY","MICRO","SALES ( CODE= BS )","xx",1994,1994-01-01,4819.4
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1975,1975-01-01,1458.05
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1976,1976-01-01,1931.53
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1977,1977-01-01,2315.78
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1978,1978-01-01,2573.11
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1979,1979-01-01,2916.61
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1980,1980-01-01,3018.94
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1981,1981-01-01,3107.36
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1982,1982-01-01,2912.45
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1983,1983-01-01,3450.89
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1984,1984-01-01,3816.85
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1985,1985-01-01,3737.22
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1986,1986-01-01,3739.97
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1987,1987-01-01,3820.81
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","x",1988,1988-01-01,4094.63
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","xx",1989,1989-01-01,4338.03
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","xx",1990,1990-01-01,4185.92
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","xx",1991,1991-01-01,3950.49
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","xx",1992,1992-01-01,3715.59
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","xx",1993,1993-01-01,3958.3
"M3","N0006","YEARLY","MICRO","SALES ( CODE= BCC)","xx",1994,1994-01-01,4140.39
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1975,1975-01-01,2399.26
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1976,1976-01-01,2910.52
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1977,1977-01-01,3126.62
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1978,1978-01-01,3475.14
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1979,1979-01-01,3750.96
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1980,1980-01-01,3752.72
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1981,1981-01-01,4004.02
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1982,1982-01-01,3737.38
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1983,1983-01-01,4263.98
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1984,1984-01-01,5121.08
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1985,1985-01-01,5769.76
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1986,1986-01-01,4387.62
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1987,1987-01-01,4614.72
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","x",1988,1988-01-01,5128.51
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","xx",1989,1989-01-01,5163.21
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","xx",1990,1990-01-01,5089.94
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","xx",1991,1991-01-01,4786.4
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","xx",1992,1992-01-01,4926.47
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","xx",1993,1993-01-01,5068.83
"M3","N0007","YEARLY","MICRO","SALES ( CODE= CHA)","xx",1994,1994-01-01,5318.19
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1975,1975-01-01,420.06
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1976,1976-01-01,423.66
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1977,1977-01-01,476.43
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1978,1978-01-01,576.81
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1979,1979-01-01,743.19
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1980,1980-01-01,881.73
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1981,1981-01-01,1345.29
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1982,1982-01-01,1371
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1983,1983-01-01,1551.63
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1984,1984-01-01,3146.37
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1985,1985-01-01,3111.66
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1986,1986-01-01,3572.88
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1987,1987-01-01,7150.65
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","x",1988,1988-01-01,8288.37
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","xx",1989,1989-01-01,8809.8
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","xx",1990,1990-01-01,8953.5
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","xx",1991,1991-01-01,7991.01
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","xx",1992,1992-01-01,7294.08
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","xx",1993,1993-01-01,7163.37
"M3","N0008","YEARLY","MICRO","SALES ( CODE= FFB)","xx",1994,1994-01-01,7478.31
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1975,1975-01-01,1325.42
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1976,1976-01-01,1801.76
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1977,1977-01-01,1996.05
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1978,1978-01-01,2865.77
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1979,1979-01-01,3543.31
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1980,1980-01-01,4826.29
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1981,1981-01-01,6073.39
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1982,1982-01-01,7335.71
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1983,1983-01-01,5300.43
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1984,1984-01-01,4401.13
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1985,1985-01-01,4168.4
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1986,1986-01-01,4660.26
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1987,1987-01-01,3924.48
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","x",1988,1988-01-01,5132.45
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","xx",1989,1989-01-01,6277.6
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","xx",1990,1990-01-01,7446.28
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","xx",1991,1991-01-01,6741.69
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","xx",1992,1992-01-01,6600.69
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","xx",1993,1993-01-01,7850.17
"M3","N0009","YEARLY","MICRO","SALES ( CODE= FLR)","xx",1994,1994-01-01,8485.26
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1975,1975-01-01,2160.04
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1976,1976-01-01,2553.48
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1977,1977-01-01,2901.18
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1978,1978-01-01,3205.21
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1979,1979-01-01,4059.58
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1980,1980-01-01,4742.69
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1981,1981-01-01,5063.38
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1982,1982-01-01,6154.5
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1983,1983-01-01,7146.27
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1984,1984-01-01,7839
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1985,1985-01-01,8163.77
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1986,1986-01-01,8892
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1987,1987-01-01,9344
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","x",1988,1988-01-01,9551
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","xx",1989,1989-01-01,10042.9
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","xx",1990,1990-01-01,10173
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","xx",1991,1991-01-01,8751
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","xx",1992,1992-01-01,3472
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","xx",1993,1993-01-01,3187
"M3","N0010","YEARLY","MICRO","SALES ( CODE= GD )","xx",1994,1994-01-01,3058
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1975,1975-01-01,1339.91
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1976,1976-01-01,1569.73
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1977,1977-01-01,1751.86
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1978,1978-01-01,1965.37
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1979,1979-01-01,2246.05
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1980,1980-01-01,2495.9
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1981,1981-01-01,2724
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1982,1982-01-01,2650
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1983,1983-01-01,2679.7
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1984,1984-01-01,2794.7
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1985,1985-01-01,2828.5
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1986,1986-01-01,3521.1
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1987,1987-01-01,3931.5
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","x",1988,1988-01-01,4941.4
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","xx",1989,1989-01-01,5388.4
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","xx",1990,1990-01-01,5766.2
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","xx",1991,1991-01-01,5937.9
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","xx",1992,1992-01-01,5627.4
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","xx",1993,1993-01-01,5982.7
"M3","N0011","YEARLY","MICRO","SALES ( CODE= GE )","xx",1994,1994-01-01,5931.6
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1975,1975-01-01,490.58
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1976,1976-01-01,555.83
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1977,1977-01-01,680
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1978,1978-01-01,864
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1979,1979-01-01,1180.5
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1980,1980-01-01,1549.5
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1981,1981-01-01,1789
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1982,1982-01-01,2127
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1983,1983-01-01,2355
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1984,1984-01-01,3022
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1985,1985-01-01,3252.5
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1986,1986-01-01,3551
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1987,1987-01-01,4045
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","x",1988,1988-01-01,4915.5
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","xx",1989,1989-01-01,5949.5
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","xx",1990,1990-01-01,6616.5
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","xx",1991,1991-01-01,7247
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","xx",1992,1992-01-01,8205
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","xx",1993,1993-01-01,10158.5
"M3","N0012","YEARLY","MICRO","SALES ( CODE= HWP)","xx",1994,1994-01-01,12495.5
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1975,1975-01-01,1443.65
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1976,1976-01-01,1630.42
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1977,1977-01-01,1813.32
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1978,1978-01-01,2107.61
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1979,1979-01-01,2286.28
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1980,1980-01-01,2621.3
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1981,1981-01-01,2907
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1982,1982-01-01,3436.4
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1983,1983-01-01,4018
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1984,1984-01-01,4593.7
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1985,1985-01-01,5005.6
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1986,1986-01-01,5125
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1987,1987-01-01,5421.7
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","x",1988,1988-01-01,5968.1
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","xx",1989,1989-01-01,6271
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","xx",1990,1990-01-01,6901.8
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","xx",1991,1991-01-01,6479.2
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","xx",1992,1992-01-01,6452.3
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","xx",1993,1993-01-01,6271.6
"M3","N0013","YEARLY","MICRO","SALES ( CODE= IBM)","xx",1994,1994-01-01,6405.2
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1975,1975-01-01,2273.5
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1976,1976-01-01,2352.84
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1977,1977-01-01,2629.14
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1978,1978-01-01,3052.24
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1979,1979-01-01,3439.48
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1980,1980-01-01,3705.92
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1981,1981-01-01,3461.24
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1982,1982-01-01,3191.68
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1983,1983-01-01,2831.08
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1984,1984-01-01,2540.18
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1985,1985-01-01,2374.22
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1986,1986-01-01,1519.1
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1987,1987-01-01,1710.2
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","x",1988,1988-01-01,3871
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","xx",1989,1989-01-01,4010.8
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","xx",1990,1990-01-01,4120.8
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","xx",1991,1991-01-01,4084.2
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","xx",1992,1992-01-01,4330.2
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","xx",1993,1993-01-01,4552.4
"M3","N0014","YEARLY","MICRO","SALES ( CODE= ITT)","xx",1994,1994-01-01,4724
